strategy,asset,tf,ret,sharpe,mdd,trades,win,bench_ret,bench_sharpe,bench_mdd,alpha_ret,alpha_sharpe,beats_bh
sma_crossover,BTC,1d,-21.43,-0.815,-29.09,5,40.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,8.168097741665662,-0.19629220800868152,False
ema_crossover,BTC,1d,-23.58,-0.907,-34.38,9,22.22,-29.59809774166566,-0.6187077919913184,-49.71541178670853,6.018097741665663,-0.2882922080086816,False
rsi,BTC,1d,-20.7,-0.482,-35.31,1,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,8.898097741665662,0.13670779199131844,False
bollinger_bands,BTC,1d,-6.63,-0.061,-31.57,5,60.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,22.968097741665662,0.5577077919913185,True
macd,BTC,1d,-10.93,-0.222,-27.9,14,28.57,-29.59809774166566,-0.6187077919913184,-49.71541178670853,18.66809774166566,0.39670779199131845,True
mean_reversion,BTC,1d,-41.36,-1.42,-45.41,4,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,-11.761902258334338,-0.8012922080086815,False
momentum,BTC,1d,-30.91,-1.301,-43.95,8,25.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,-1.3119022583343387,-0.6822922080086815,False
volume_weighted,BTC,1d,5.43,0.378,-11.77,2,50.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,35.02809774166566,0.9967077919913184,False
triple_ema,BTC,1d,-9.66,-0.411,-18.13,7,14.29,-29.59809774166566,-0.6187077919913184,-49.71541178670853,19.93809774166566,0.20770779199131845,True
rsi_macd_combo,BTC,1d,-30.94,-0.77,-49.72,1,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,-1.3419022583343398,-0.1512922080086816,False
stoch_rsi,BTC,1d,-13.64,-0.346,-30.98,8,50.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,15.95809774166566,0.27270779199131845,True
supertrend,BTC,1d,0.0,0.0,0.0,0,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,29.59809774166566,0.6187077919913184,False
ichimoku_cloud,BTC,1d,-33.9,-1.032,-43.68,3,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,-4.301902258334337,-0.4132922080086816,False
pairs_spread,BTC,1d,-8.31,-0.271,-17.56,4,25.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,21.28809774166566,0.3477077919913184,True
squeeze_momentum,BTC,1d,-19.65,-0.518,-35.31,1,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,9.948097741665663,0.10070779199131841,False
atr_breakout,BTC,1d,-6.9,-0.149,-24.28,4,50.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,22.698097741665663,0.4697077919913184,True
amd_ifvg,BTC,1d,0.0,0.0,0.0,0,0.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,29.59809774166566,0.6187077919913184,False
heikin_ashi_ema,BTC,1d,-16.41,-0.628,-30.5,10,40.0,-29.59809774166566,-0.6187077919913184,-49.71541178670853,13.188097741665661,-0.00929220800868158,False
