strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_trend,shp_trend,trd_trend,ret_down,shp_down,trd_down
sma_crossover,BTC,1d,-29.59809774166566,-0.6187077919913184,-4.32,0.08,10,1.05,0.196,6,28.99,1.136,3
ema_crossover,BTC,1d,-29.59809774166566,-0.6187077919913184,-20.35,-0.351,18,17.41,0.72,6,33.2,1.32,4
rsi,BTC,1d,-29.59809774166566,-0.6187077919913184,-3.91,0.103,2,-3.91,0.103,2,-20.64,-0.48,1
bollinger_bands,BTC,1d,-29.59809774166566,-0.6187077919913184,34.2,0.907,11,10.88,0.457,8,-18.3,-0.512,3
macd,BTC,1d,-29.59809774166566,-0.6187077919913184,7.59,0.385,28,9.14,0.433,14,3.29,0.255,7
mean_reversion,BTC,1d,-29.59809774166566,-0.6187077919913184,-51.52,-1.452,8,-47.91,-1.509,5,-47.91,-1.509,5
momentum,BTC,1d,-29.59809774166566,-0.6187077919913184,-37.95,-1.029,16,-16.37,-0.367,10,7.73,0.411,7
volume_weighted,BTC,1d,-29.59809774166566,-0.6187077919913184,57.86,1.529,4,6.83,0.45,1,6.83,0.45,1
triple_ema,BTC,1d,-29.59809774166566,-0.6187077919913184,5.34,0.322,14,29.7,1.274,4,29.7,1.274,4
rsi_macd_combo,BTC,1d,-29.59809774166566,-0.6187077919913184,-31.78,-0.683,3,3.45,0.466,1,0.0,0.0,0
stoch_rsi,BTC,1d,-29.59809774166566,-0.6187077919913184,13.82,0.519,16,-14.73,-0.274,10,-17.93,-0.448,5
supertrend,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,BTC,1d,-29.59809774166566,-0.6187077919913184,-29.7,-0.704,5,-22.0,-0.485,3,12.93,0.884,1
pairs_spread,BTC,1d,-29.59809774166566,-0.6187077919913184,11.64,0.472,8,1.1,0.199,5,1.1,0.199,5
squeeze_momentum,BTC,1d,-29.59809774166566,-0.6187077919913184,-4.24,0.086,2,19.1,0.895,1,19.1,0.895,1
atr_breakout,BTC,1d,-29.59809774166566,-0.6187077919913184,29.2,0.898,7,33.12,1.024,5,44.5,1.34,3
amd_ifvg,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,BTC,1d,-29.59809774166566,-0.6187077919913184,-3.66,0.098,20,12.89,0.557,10,10.53,0.529,6
order_blocks,BTC,1d,-29.59809774166566,-0.6187077919913184,21.26,0.841,6,43.19,1.775,2,34.12,1.53,1
vwap_reversion,BTC,1d,-29.59809774166566,-0.6187077919913184,-45.93,-0.544,180,-31.01,-0.334,109,-18.43,-0.186,64
chart_pattern,BTC,1d,-29.59809774166566,-0.6187077919913184,3.21,0.259,2,21.9,0.936,1,21.9,0.936,1
liquidity_sweeps,BTC,1d,-29.59809774166566,-0.6187077919913184,17.08,0.66,3,17.08,0.66,3,-13.66,-0.719,1
parabolic_sar,BTC,1d,-29.59809774166566,-0.6187077919913184,-25.29,-0.39,29,-25.59,-0.6,15,-41.97,-1.765,9
range_scalper,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,BTC,1d,-29.59809774166566,-0.6187077919913184,-33.58,-0.829,2,0.0,0.0,0,0.0,0.0,0
adx_trend,BTC,1d,-29.59809774166566,-0.6187077919913184,41.48,1.413,5,41.48,1.413,5,37.51,1.643,3
donchian_breakout,BTC,1d,-29.59809774166566,-0.6187077919913184,-3.7,0.094,10,15.65,0.602,6,24.9,0.997,4
tema_cross,BTC,1d,-29.59809774166566,-0.6187077919913184,-6.3,-0.024,10,30.46,1.198,2,33.28,1.394,1
sma_crossover,ETH,1d,-20.487691097344495,-0.013524234027752253,-0.16,0.291,6,-0.16,0.291,6,30.89,0.857,3
ema_crossover,ETH,1d,-20.487691097344495,-0.013524234027752253,6.62,0.408,14,-3.68,0.097,5,41.9,1.259,2
rsi,ETH,1d,-20.487691097344495,-0.013524234027752253,-30.41,-0.15,3,-54.49,-0.82,2,-50.01,-1.011,1
bollinger_bands,ETH,1d,-20.487691097344495,-0.013524234027752253,-55.7,-0.278,7,-42.36,-0.692,5,-46.03,-1.088,3
macd,ETH,1d,-20.487691097344495,-0.013524234027752253,-30.24,-0.197,26,-43.15,-0.693,17,16.37,0.569,9
mean_reversion,ETH,1d,-20.487691097344495,-0.013524234027752253,-84.51,0.418,8,-55.74,-1.158,7,-52.66,-1.112,5
momentum,ETH,1d,-20.487691097344495,-0.013524234027752253,-53.19,-0.685,25,-49.94,-0.745,20,-34.46,-0.64,13
volume_weighted,ETH,1d,-20.487691097344495,-0.013524234027752253,142.99,1.955,6,62.15,1.467,5,45.43,1.188,4
triple_ema,ETH,1d,-20.487691097344495,-0.013524234027752253,-0.76,0.284,14,14.68,0.551,5,36.43,1.082,2
rsi_macd_combo,ETH,1d,-20.487691097344495,-0.013524234027752253,7.84,0.448,3,7.84,0.448,3,-21.9,-0.327,1
stoch_rsi,ETH,1d,-20.487691097344495,-0.013524234027752253,-10.86,0.22,16,27.19,0.709,12,-21.62,-0.3,7
supertrend,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,ETH,1d,-20.487691097344495,-0.013524234027752253,-1.1,0.136,3,-1.1,0.136,3,39.39,1.339,1
pairs_spread,ETH,1d,-20.487691097344495,-0.013524234027752253,-62.08,0.751,8,-4.22,0.178,7,-9.86,0.046,6
squeeze_momentum,ETH,1d,-20.487691097344495,-0.013524234027752253,-4.77,0.236,4,-28.79,-0.493,2,4.7,0.326,1
atr_breakout,ETH,1d,-20.487691097344495,-0.013524234027752253,48.72,0.972,7,3.71,0.3,5,17.64,0.589,4
amd_ifvg,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,ETH,1d,-20.487691097344495,-0.013524234027752253,-34.01,-0.247,20,-32.91,-0.379,13,12.76,0.524,5
order_blocks,ETH,1d,-20.487691097344495,-0.013524234027752253,-60.06,-1.096,7,-60.42,-1.207,6,-21.02,-0.294,4
vwap_reversion,ETH,1d,-20.487691097344495,-0.013524234027752253,-69.57,-0.367,184,-62.93,-0.435,137,-42.15,-0.463,73
chart_pattern,ETH,1d,-20.487691097344495,-0.013524234027752253,92.66,1.571,2,47.77,1.236,1,47.77,1.236,1
liquidity_sweeps,ETH,1d,-20.487691097344495,-0.013524234027752253,15.29,1.39,1,0.0,0.0,0,0.0,0.0,0
parabolic_sar,ETH,1d,-20.487691097344495,-0.013524234027752253,-59.31,-0.932,33,-63.6,-1.448,22,-47.34,-1.478,8
range_scalper,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
adx_trend,ETH,1d,-20.487691097344495,-0.013524234027752253,38.56,0.942,6,38.56,0.942,6,59.39,1.419,3
donchian_breakout,ETH,1d,-20.487691097344495,-0.013524234027752253,0.68,0.339,9,-12.07,-0.011,5,33.76,1.04,2
tema_cross,ETH,1d,-20.487691097344495,-0.013524234027752253,-21.59,-0.083,10,25.09,0.95,4,0.0,0.0,0
sma_crossover,SOL,1d,-47.707827863618945,-0.5542840781585064,-30.81,-0.185,7,-20.54,-0.012,5,29.96,0.86,2
ema_crossover,SOL,1d,-47.707827863618945,-0.5542840781585064,-32.01,-0.285,18,-35.99,-1.097,6,5.83,0.357,2
rsi,SOL,1d,-47.707827863618945,-0.5542840781585064,-25.51,-0.07,3,-25.51,-0.07,3,-42.15,-0.884,1
bollinger_bands,SOL,1d,-47.707827863618945,-0.5542840781585064,-52.04,-0.487,6,-42.45,-0.665,4,-51.56,-1.103,2
macd,SOL,1d,-47.707827863618945,-0.5542840781585064,-25.4,-0.064,30,-34.31,-0.437,18,3.7,0.291,9
mean_reversion,SOL,1d,-47.707827863618945,-0.5542840781585064,-57.66,-0.379,9,-35.9,-0.525,6,-43.61,-0.844,5
momentum,SOL,1d,-47.707827863618945,-0.5542840781585064,-56.63,-0.813,21,-51.71,-1.215,10,-40.98,-0.902,9
volume_weighted,SOL,1d,-47.707827863618945,-0.5542840781585064,-63.06,-1.164,4,0.0,0.0,0,0.0,0.0,0
triple_ema,SOL,1d,-47.707827863618945,-0.5542840781585064,-26.32,-0.255,10,-44.4,-2.174,3,-31.87,-2.132,2
rsi_macd_combo,SOL,1d,-47.707827863618945,-0.5542840781585064,-60.27,-0.892,2,-60.27,-0.892,2,-57.74,-1.408,1
stoch_rsi,SOL,1d,-47.707827863618945,-0.5542840781585064,17.32,0.575,14,7.87,0.419,8,-31.46,-0.561,5
supertrend,SOL,1d,-47.707827863618945,-0.5542840781585064,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,SOL,1d,-47.707827863618945,-0.5542840781585064,-75.71,-1.877,7,-65.22,-1.414,3,-8.35,-0.797,1
pairs_spread,SOL,1d,-47.707827863618945,-0.5542840781585064,-39.23,0.113,5,-8.31,0.08,4,-8.31,0.08,4
squeeze_momentum,SOL,1d,-47.707827863618945,-0.5542840781585064,-43.39,-0.666,3,-22.73,-0.53,1,0.0,0.0,0
atr_breakout,SOL,1d,-47.707827863618945,-0.5542840781585064,36.13,0.82,5,35.91,0.862,4,43.38,1.0,2
