asset,tier,strategy,direction,regime,split,sharpe,ret,trades
BTC,low,sma_crossover,long,trending_up,train,1.253,113.82,40
BTC,low,sma_crossover,long,trending_down,train,-0.13,-11.11,41
BTC,low,sma_crossover,long,ranging,train,0.741,39.76,34
BTC,low,sma_crossover,long,trending_up,test,-0.458,-15.85,23
BTC,low,sma_crossover,long,trending_down,test,0.36,7.06,24
BTC,low,sma_crossover,long,ranging,test,-1.007,-30.92,36
BTC,low,sma_crossover,short,trending_up,train,-1.008,-37.76,36
BTC,low,sma_crossover,short,trending_down,train,-1.386,-60.15,37
BTC,low,sma_crossover,short,ranging,train,-2.074,-61.49,37
BTC,low,sma_crossover,short,trending_up,test,1.337,46.45,26
BTC,low,sma_crossover,short,trending_down,test,0.532,17.26,25
BTC,low,sma_crossover,short,ranging,test,0.397,9.93,30
BTC,low,ema_crossover,long,trending_up,train,1.702,186.73,54
BTC,low,ema_crossover,long,trending_down,train,-0.096,-6.74,46
BTC,low,ema_crossover,long,ranging,train,1.551,134.17,61
BTC,low,ema_crossover,long,trending_up,test,-1.508,-41.89,40
BTC,low,ema_crossover,long,trending_down,test,0.375,6.55,30
BTC,low,ema_crossover,long,ranging,test,-1.077,-33.47,49
BTC,low,ema_crossover,short,trending_up,train,-0.749,-24.91,36
BTC,low,ema_crossover,short,trending_down,train,-0.528,-31.75,49
BTC,low,ema_crossover,short,ranging,train,-0.833,-34.33,52
BTC,low,ema_crossover,short,trending_up,test,-0.73,-16.34,27
BTC,low,ema_crossover,short,trending_down,test,-0.355,-18.67,41
BTC,low,ema_crossover,short,ranging,test,-0.388,-17.71,45
BTC,low,rsi,long,trending_up,train,1.658,128.33,23
BTC,low,rsi,long,trending_down,train,1.546,154.9,23
BTC,low,rsi,long,ranging,train,1.754,118.01,18
BTC,low,rsi,long,trending_up,test,-0.443,-23.35,13
BTC,low,rsi,long,trending_down,test,-0.216,-17.1,12
BTC,low,rsi,long,ranging,test,-0.135,-12.16,12
BTC,low,rsi,short,trending_up,train,-0.88,-83.64,24
BTC,low,rsi,short,trending_down,train,-0.507,-64.58,23
BTC,low,rsi,short,ranging,train,-0.675,-69.84,18
BTC,low,rsi,short,trending_up,test,0.404,10.49,12
BTC,low,rsi,short,trending_down,test,0.606,16.8,12
BTC,low,rsi,short,ranging,test,0.048,-2.4,9
BTC,low,bollinger_bands,long,trending_up,train,0.689,33.14,41
BTC,low,bollinger_bands,long,trending_down,train,0.736,48.33,45
BTC,low,bollinger_bands,long,ranging,train,1.028,55.3,40
BTC,low,bollinger_bands,long,trending_up,test,0.33,5.62,25
BTC,low,bollinger_bands,long,trending_down,test,0.462,13.67,29
BTC,low,bollinger_bands,long,ranging,test,0.539,12.49,23
BTC,low,bollinger_bands,short,trending_up,train,-1.91,-82.82,44
BTC,low,bollinger_bands,short,trending_down,train,-0.348,-17.23,43
BTC,low,bollinger_bands,short,ranging,train,-0.419,-21.96,37
BTC,low,bollinger_bands,short,trending_up,test,1.346,60.05,30
BTC,low,bollinger_bands,short,trending_down,test,0.496,12.81,27
BTC,low,bollinger_bands,short,ranging,test,0.67,22.48,31
BTC,low,macd,long,trending_up,train,1.05,70.55,105
BTC,low,macd,long,trending_down,train,0.99,54.24,61
BTC,low,macd,long,ranging,train,1.64,97.2,89
BTC,low,macd,long,trending_up,test,-0.657,-22.74,63
BTC,low,macd,long,trending_down,test,-0.943,-30.06,49
BTC,low,macd,long,ranging,test,0.06,-1.17,71
BTC,low,macd,short,trending_up,train,-1.434,-53.6,68
BTC,low,macd,short,trending_down,train,-0.993,-45.77,99
BTC,low,macd,short,ranging,train,-1.092,-37.57,82
BTC,low,macd,short,trending_up,test,-0.592,-14.66,35
BTC,low,macd,short,trending_down,test,-0.404,-17.32,67
BTC,low,macd,short,ranging,test,0.508,13.58,70
BTC,low,mean_reversion,long,trending_up,train,0.964,49.54,47
BTC,low,mean_reversion,long,trending_down,train,1.014,77.12,48
BTC,low,mean_reversion,long,ranging,train,1.634,74.4,31
BTC,low,mean_reversion,long,trending_up,test,-0.867,-23.86,31
BTC,low,mean_reversion,long,trending_down,test,-0.411,-21.22,32
BTC,low,mean_reversion,long,ranging,test,0.025,-1.26,25
BTC,low,mean_reversion,short,trending_up,train,-1.286,-66.94,44
BTC,low,mean_reversion,short,trending_down,train,-0.332,-22.23,52
BTC,low,mean_reversion,short,ranging,train,-1.543,-75.94,44
BTC,low,mean_reversion,short,trending_up,test,0.333,7.3,25
BTC,low,mean_reversion,short,trending_down,test,-0.068,-8.0,32
BTC,low,mean_reversion,short,ranging,test,0.274,5.21,35
BTC,low,momentum,long,trending_up,train,1.992,296.74,25
BTC,low,momentum,long,trending_down,train,1.733,179.79,22
BTC,low,momentum,long,ranging,train,1.983,234.97,19
BTC,low,momentum,long,trending_up,test,-0.652,-27.44,15
BTC,low,momentum,long,trending_down,test,-0.053,-6.84,16
BTC,low,momentum,long,ranging,test,-0.676,-26.0,15
BTC,low,momentum,short,trending_up,train,-0.515,-21.84,22
BTC,low,momentum,short,trending_down,train,-0.352,-24.76,24
BTC,low,momentum,short,ranging,train,-0.349,-14.12,14
BTC,low,momentum,short,trending_up,test,0.794,21.35,15
BTC,low,momentum,short,trending_down,test,-0.621,-25.28,19
BTC,low,momentum,short,ranging,test,0.336,7.28,15
BTC,low,volume_weighted,long,trending_up,train,0.876,49.46,36
BTC,low,volume_weighted,long,trending_down,train,0.925,40.36,21
BTC,low,volume_weighted,long,ranging,train,0.95,49.63,33
BTC,low,volume_weighted,long,trending_up,test,-0.083,-6.82,20
BTC,low,volume_weighted,long,trending_down,test,-0.038,-4.03,17
BTC,low,volume_weighted,long,ranging,test,0.384,9.25,21
BTC,low,volume_weighted,short,trending_up,train,-1.531,-76.88,27
BTC,low,volume_weighted,short,trending_down,train,-1.666,-81.1,37
BTC,low,volume_weighted,short,ranging,train,-1.781,-79.48,34
BTC,low,volume_weighted,short,trending_up,test,1.75,77.87,15
BTC,low,volume_weighted,short,trending_down,test,0.742,27.15,20
BTC,low,volume_weighted,short,ranging,test,0.674,23.84,24
BTC,low,triple_ema,long,trending_up,train,1.408,120.1,55
BTC,low,triple_ema,long,trending_down,train,0.126,1.61,37
BTC,low,triple_ema,long,ranging,train,1.511,110.76,50
BTC,low,triple_ema,long,trending_up,test,-0.615,-16.47,33
BTC,low,triple_ema,long,trending_down,test,-1.013,-10.66,21
BTC,low,triple_ema,long,ranging,test,-0.582,-17.93,42
BTC,low,triple_ema,short,trending_up,train,-1.02,-39.84,38
BTC,low,triple_ema,short,trending_down,train,-0.973,-51.09,47
BTC,low,triple_ema,short,ranging,train,-1.225,-50.54,48
BTC,low,triple_ema,short,trending_up,test,0.725,24.58,26
BTC,low,triple_ema,short,trending_down,test,0.546,18.14,31
BTC,low,triple_ema,short,ranging,test,0.304,6.49,40
BTC,low,rsi_macd_combo,long,trending_up,train,0.97,54.42,25
BTC,low,rsi_macd_combo,long,trending_down,train,1.434,114.34,24
BTC,low,rsi_macd_combo,long,ranging,train,1.662,106.34,21
BTC,low,rsi_macd_combo,long,trending_up,test,-0.671,-32.23,15
BTC,low,rsi_macd_combo,long,trending_down,test,-0.86,-39.86,13
BTC,low,rsi_macd_combo,long,ranging,test,-0.414,-23.23,15
BTC,low,rsi_macd_combo,short,trending_up,train,-1.201,-89.28,23
BTC,low,rsi_macd_combo,short,trending_down,train,-0.574,-62.43,26
BTC,low,rsi_macd_combo,short,ranging,train,-0.955,-74.81,19
BTC,low,rsi_macd_combo,short,trending_up,test,-0.232,-12.43,14
BTC,low,rsi_macd_combo,short,trending_down,test,-0.702,-24.71,14
