date,gated,n_long,n_short,lev,gross,ret,equity
2023-01-29 00:00:00,False,4,4,1.0,2.0,0.0449,1.0449
2023-02-12 04:00:00,False,4,4,1.0,2.0,0.063,1.1107
2023-02-26 04:00:00,False,4,4,1.0,2.0,0.031,1.1451
2023-03-12 04:00:00,False,4,4,1.0,2.0,-0.0373,1.1023
2023-03-26 04:00:00,False,4,4,1.0,2.0,0.0114,1.1149
2023-04-09 04:00:00,False,4,4,1.0,2.0,-0.0932,1.011
2023-04-23 04:00:00,False,4,4,1.0,2.0,0.0703,1.082
2023-05-07 04:00:00,False,4,4,1.0,2.0,0.0021,1.0843
2023-05-21 04:00:00,True,0,0,1.0,0.0,-0.0063,1.0774
2023-06-04 04:00:00,False,4,4,0.37,0.74,0.0209,1.0999
2023-06-18 04:00:00,True,0,0,1.0,0.0,-0.0026,1.0971
2023-07-02 04:00:00,False,4,4,0.42,0.84,0.0159,1.1145
2023-07-16 04:00:00,True,0,0,1.0,0.0,-0.0021,1.1121
2023-07-30 04:00:00,True,0,0,1.0,0.0,0.0,1.1121
2023-08-13 04:00:00,False,5,5,0.7,1.39,-0.0112,1.0997
2023-08-27 04:00:00,False,5,5,2.3,4.6,0.0951,1.2043
2023-09-10 04:00:00,True,0,0,1.0,0.0,-0.0093,1.1931
2023-09-24 04:00:00,False,5,5,0.51,1.03,0.0106,1.2058
2023-10-08 04:00:00,False,5,5,0.51,1.02,0.055,1.2721
2023-10-22 04:00:00,False,5,5,0.49,0.99,-0.0728,1.1795
2023-11-05 04:00:00,False,5,5,0.39,0.77,0.0759,1.269
2023-11-19 04:00:00,False,5,5,0.36,0.71,0.0046,1.2749
2023-12-03 04:00:00,False,5,5,0.36,0.72,0.0478,1.3357
2023-12-17 04:00:00,False,5,5,0.36,0.73,-0.0181,1.3116
2023-12-31 04:00:00,False,5,5,0.44,0.87,0.0142,1.3303
2024-01-14 04:00:00,False,5,5,0.44,0.88,-0.023,1.2997
2024-01-28 04:00:00,False,5,5,0.42,0.85,0.0215,1.3276
2024-02-11 04:00:00,False,5,5,0.45,0.9,-0.0715,1.2328
2024-02-25 04:00:00,False,5,5,0.45,0.9,0.1065,1.3641
2024-03-10 04:00:00,False,5,5,0.39,0.78,0.0227,1.395
2024-03-24 04:00:00,True,0,0,1.0,0.0,-0.0014,1.393
2024-04-07 04:00:00,False,5,5,0.4,0.81,0.032,1.4376
2024-04-21 04:00:00,False,5,5,0.41,0.81,-0.0102,1.423
2024-05-05 04:00:00,False,5,5,0.4,0.8,0.002,1.4258
2024-05-19 04:00:00,False,5,5,0.41,0.83,-0.0144,1.4052
2024-06-02 04:00:00,False,5,5,0.41,0.82,0.0388,1.4597
2024-06-16 04:00:00,False,5,5,0.52,1.04,0.005,1.467
2024-06-30 04:00:00,True,0,0,1.0,0.0,-0.0015,1.4647
2024-07-14 04:00:00,True,0,0,1.0,0.0,0.0,1.4647
2024-07-28 04:00:00,False,5,5,1.1,2.21,0.1501,1.6846
2024-08-11 04:00:00,False,5,5,0.38,0.76,-0.0484,1.6032
2024-08-25 04:00:00,False,5,5,0.35,0.71,0.0104,1.6198
2024-09-08 04:00:00,False,5,5,0.36,0.71,0.0723,1.737
2024-09-22 04:00:00,False,6,6,0.35,0.7,0.0027,1.7417
2024-10-06 04:00:00,False,6,6,0.35,0.69,-0.0203,1.7063
2024-10-20 04:00:00,False,6,6,0.34,0.67,0.014,1.7302
2024-11-03 04:00:00,False,6,6,0.34,0.68,0.0204,1.7654
2024-11-17 04:00:00,False,6,6,0.34,0.69,0.1551,2.0393
2024-12-01 04:00:00,False,6,6,0.34,0.68,0.0154,2.0708
2024-12-15 04:00:00,False,6,6,0.38,0.75,-0.0181,2.0334
2024-12-29 04:00:00,True,0,0,1.0,0.0,-0.0007,2.0319
2025-01-12 04:00:00,False,6,6,0.37,0.74,0.0191,2.0706
2025-01-26 04:00:00,False,6,6,0.37,0.75,0.0144,2.1004
2025-02-09 04:00:00,True,0,0,1.0,0.0,-0.0017,2.0969
2025-02-23 04:00:00,False,6,6,0.38,0.77,-0.0051,2.0863
2025-03-09 04:00:00,True,0,0,1.0,0.0,-0.0009,2.0843
2025-03-23 04:00:00,True,0,0,1.0,0.0,0.0,2.0843
2025-04-06 04:00:00,True,0,0,1.0,0.0,0.0,2.0843
2025-04-20 04:00:00,False,6,6,2.27,4.54,-0.2396,1.585
2025-05-04 04:00:00,False,6,6,0.26,0.51,-0.0238,1.5472
2025-05-18 04:00:00,False,6,6,0.26,0.52,-0.0106,1.5307
2025-06-01 04:00:00,False,6,6,0.27,0.53,0.0291,1.5753
2025-06-15 04:00:00,False,6,6,0.26,0.51,-0.0013,1.5732
2025-06-29 04:00:00,False,6,6,0.26,0.51,-0.0093,1.5586
2025-07-13 04:00:00,False,6,6,0.26,0.52,0.0334,1.6106
2025-07-27 04:00:00,False,6,6,0.25,0.5,-0.0062,1.6006
2025-08-10 04:00:00,True,0,0,1.0,0.0,-0.0005,1.5998
2025-08-24 04:00:00,False,6,6,1.16,2.31,0.0022,1.6034
2025-09-07 04:00:00,True,0,0,1.0,0.0,-0.0044,1.5964
2025-09-21 04:00:00,False,6,6,1.27,2.53,0.3615,2.1734
2025-10-05 04:00:00,False,6,6,0.25,0.5,0.0253,2.2285
2025-10-19 04:00:00,False,6,6,0.25,0.5,0.0402,2.318
2025-11-02 04:00:00,False,6,6,0.25,0.5,0.0249,2.3758
