strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
sma_crossover,BTC,1d,-29.59809774166566,-0.6187077919913184,-21.43,-0.815,5,-21.96,-1.145,3,-21.96,-1.145,3
ema_crossover,BTC,1d,-29.59809774166566,-0.6187077919913184,-23.58,-0.907,9,-12.08,-1.015,2,-12.08,-1.015,2
rsi,BTC,1d,-29.59809774166566,-0.6187077919913184,-20.7,-0.482,1,0.0,0.0,0,-20.7,-0.482,1
bollinger_bands,BTC,1d,-29.59809774166566,-0.6187077919913184,-6.63,-0.061,5,0.0,0.0,0,-18.61,-0.525,3
macd,BTC,1d,-29.59809774166566,-0.6187077919913184,-10.93,-0.222,14,-0.93,-0.194,2,-8.23,-0.283,5
mean_reversion,BTC,1d,-29.59809774166566,-0.6187077919913184,-41.36,-1.42,4,0.0,0.0,0,-40.35,-1.415,3
momentum,BTC,1d,-29.59809774166566,-0.6187077919913184,-30.91,-1.301,8,-24.48,-1.384,4,-32.23,-1.788,6
volume_weighted,BTC,1d,-29.59809774166566,-0.6187077919913184,5.43,0.378,2,0.0,0.0,0,6.76,0.447,1
triple_ema,BTC,1d,-29.59809774166566,-0.6187077919913184,-9.66,-0.411,7,0.0,0.0,0,0.0,0.0,0
rsi_macd_combo,BTC,1d,-29.59809774166566,-0.6187077919913184,-30.94,-0.77,1,0.0,0.0,0,-16.6,-0.376,1
stoch_rsi,BTC,1d,-29.59809774166566,-0.6187077919913184,-13.64,-0.346,8,-6.37,-0.764,2,-24.65,-0.957,5
supertrend,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,BTC,1d,-29.59809774166566,-0.6187077919913184,-33.9,-1.032,3,-31.07,-0.933,2,-31.07,-0.933,2
pairs_spread,BTC,1d,-29.59809774166566,-0.6187077919913184,-8.31,-0.271,4,0.0,0.0,0,-8.5,-0.3,3
squeeze_momentum,BTC,1d,-29.59809774166566,-0.6187077919913184,-19.65,-0.518,1,1.15,0.154,1,1.15,0.154,1
atr_breakout,BTC,1d,-29.59809774166566,-0.6187077919913184,-6.9,-0.149,4,-7.69,-1.475,1,-3.82,-0.06,2
amd_ifvg,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,BTC,1d,-29.59809774166566,-0.6187077919913184,-16.41,-0.628,10,-10.13,-0.918,3,-14.26,-1.158,4
order_blocks,BTC,1d,-29.59809774166566,-0.6187077919913184,-7.22,-0.409,3,0.0,0.0,0,0.0,0.0,0
vwap_reversion,BTC,1d,-29.59809774166566,-0.6187077919913184,-43.39,-1.153,90,-19.78,-0.99,25,-40.49,-1.213,54
chart_pattern,BTC,1d,-29.59809774166566,-0.6187077919913184,-15.44,-0.671,1,0.0,0.0,0,0.0,0.0,0
liquidity_sweeps,BTC,1d,-29.59809774166566,-0.6187077919913184,-13.77,-0.726,1,0.0,0.0,0,-13.77,-0.726,1
parabolic_sar,BTC,1d,-29.59809774166566,-0.6187077919913184,-22.71,-0.693,14,-5.7,-0.363,2,-22.96,-1.093,5
range_scalper,BTC,1d,-29.59809774166566,-0.6187077919913184,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,BTC,1d,-29.59809774166566,-0.6187077919913184,-35.41,-0.933,1,0.0,0.0,0,-30.6,-0.838,1
adx_trend,BTC,1d,-29.59809774166566,-0.6187077919913184,2.62,0.237,2,2.62,0.237,2,2.62,0.237,2
donchian_breakout,BTC,1d,-29.59809774166566,-0.6187077919913184,-18.22,-0.635,5,-21.91,-1.045,4,-21.91,-1.045,4
tema_cross,BTC,1d,-29.59809774166566,-0.6187077919913184,-14.14,-0.96,5,0.0,0.0,0,0.0,0.0,0
sma_crossover,ETH,1d,-20.487691097344495,-0.013524234027752253,-24.02,-0.445,3,-24.02,-0.445,3,-24.02,-0.445,3
ema_crossover,ETH,1d,-20.487691097344495,-0.013524234027752253,-3.7,0.139,7,-32.39,-1.654,3,-32.39,-1.654,3
rsi,ETH,1d,-20.487691097344495,-0.013524234027752253,-23.7,-0.182,2,0.0,0.0,0,-50.04,-1.013,1
bollinger_bands,ETH,1d,-20.487691097344495,-0.013524234027752253,-34.59,-0.633,4,0.0,0.0,0,-46.2,-1.095,3
macd,ETH,1d,-20.487691097344495,-0.013524234027752253,-18.72,-0.178,13,-35.65,-1.437,4,-42.07,-1.094,8
mean_reversion,ETH,1d,-20.487691097344495,-0.013524234027752253,-53.11,-1.538,4,-12.07,-1.688,1,-53.11,-1.538,4
momentum,ETH,1d,-20.487691097344495,-0.013524234027752253,-27.9,-0.417,12,-22.79,-0.504,5,-39.58,-0.957,10
volume_weighted,ETH,1d,-20.487691097344495,-0.013524234027752253,56.45,1.232,3,0.0,0.0,0,4.54,0.303,2
triple_ema,ETH,1d,-20.487691097344495,-0.013524234027752253,-7.51,-0.013,7,-24.4,-1.588,2,-24.4,-1.588,2
rsi_macd_combo,ETH,1d,-20.487691097344495,-0.013524234027752253,-22.0,-0.33,1,0.0,0.0,0,-22.0,-0.33,1
stoch_rsi,ETH,1d,-20.487691097344495,-0.013524234027752253,-3.81,0.105,8,13.16,0.815,2,-10.68,-0.096,7
supertrend,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,ETH,1d,-20.487691097344495,-0.013524234027752253,-29.19,-1.69,2,-29.19,-1.69,2,-29.19,-1.69,2
pairs_spread,ETH,1d,-20.487691097344495,-0.013524234027752253,-26.65,-0.729,4,0.0,0.0,0,-26.65,-0.729,4
squeeze_momentum,ETH,1d,-20.487691097344495,-0.013524234027752253,-14.04,0.04,2,-32.07,-0.714,1,-32.07,-0.714,1
atr_breakout,ETH,1d,-20.487691097344495,-0.013524234027752253,5.25,0.335,4,9.47,0.443,2,-7.8,0.035,4
amd_ifvg,ETH,1d,-20.487691097344495,-0.013524234027752253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
