coin,symbol,bars,start,annvol
BTC,BTC/USDT,7480,2023-01-01,46.0
BNB,BNB/USDT,7480,2023-01-01,53.0
ETH,ETH/USDT,7480,2023-01-01,61.0
LTC,LTC/USDT,7480,2023-01-01,75.0
XRP,XRP/USDT,6314,2023-07-14,78.0
DOT,DOT/USDT,7480,2023-01-01,83.0
LINK,LINK/USDT,7480,2023-01-01,84.0
ATOM,ATOM/USDT,7480,2023-01-01,84.0
ADA,ADA/USDT,7480,2023-01-01,85.0
SOL,SOL/USDT,7480,2023-01-01,86.0
BCH,BCH/USDT,7480,2023-01-01,86.0
POL,POL/USDT,3002,2025-01-16,88.0
XLM,XLM/USDT,7480,2023-01-01,89.0
DOGE,DOGE/USDT,7480,2023-01-01,89.0
AVAX,AVAX/USDT,7480,2023-01-01,90.0
SHIB,SHIB/USDT,7480,2023-01-01,90.0
VET,VET/USDT,7480,2023-01-01,92.0
ALGO,ALGO/USDT,7480,2023-01-01,96.0
BAT,BAT/USDT,7480,2023-01-01,100.0
MKR,MKR/USDT,5928,2023-01-01,102.0
HBAR,HBAR/USDT,6419,2023-06-27,103.0
NEAR,NEAR/USDT,7480,2023-01-01,106.0
UNI,UNI/USDT,7480,2023-01-01,107.0
ARB,ARB/USDT,6788,2023-04-26,109.0
ONE,ONE/USDT,7480,2023-01-01,111.0
PEPE,PEPE/USDT,3255,2024-12-05,111.0
THETA,THETA/USDT,7480,2023-01-01,111.0
GRT,GRT/USDT,7480,2023-01-01,112.0
ICP,ICP/USDT,7480,2023-01-01,114.0
IOTA,IOTA/USDT,6419,2023-06-27,115.0
SUI,SUI/USDT,5697,2023-10-25,117.0
RENDER,RENDER/USDT,3884,2024-08-22,117.0
HYPE,HYPE/USDT,2157,2025-06-06,118.0
ONDO,ONDO/USDT,1875,2025-07-23,119.0
APE,APE/USDT,7480,2023-01-01,120.0
FTM,FTM/USDT,4842,2023-01-01,121.0
FET,FET/USDT,7480,2023-01-01,123.0
ASTER,ASTER/USDT,1365,2025-10-16,126.0
AVNT,AVNT/USDT,1319,2025-10-24,130.0
ZEC,ZEC/USDT,7480,2023-01-01,132.0
PUMP,PUMP/USDT,1581,2025-09-10,134.0
ICX,ICX/USDT,6091,2023-06-27,136.0
DGB,DGB/USDT,7480,2023-01-01,136.0
DASH,DASH/USDT,6419,2023-06-27,141.0
KDA,KDA/USDT,6192,2023-01-01,141.0
XDC,XDC/USDT,1833,2025-07-30,152.0
LRC,LRC/USDT,7458,2023-01-01,152.0
LPT,LPT/USDT,7480,2023-01-01,153.0
OXT,OXT/USDT,6456,2023-01-01,155.0
PENGU,PENGU/USDT,3003,2025-01-16,158.0
REN,REN/USDT,4800,2023-01-01,166.0
NEO,NEO/USDT,7480,2023-01-01,175.0
DUSK,DUSK/USDT,1329,2025-10-22,218.0
CELR,CELR/USDT,7480,2023-01-01,232.0
A2Z,A2Z/USDT,1678,2025-08-21,239.0
JAM,JAM/USDT,6456,2023-01-01,243.0
STMX,STMX/USDT,5920,2023-02-09,420.0
TRX,TRX/USDT,921,2023-01-01,598.0
